country_release,language,filming_location,year_release,director_gender,director_country,director_year_birth,company_city,founded,company_type,actor_education,actor_gender,actor_nationality,roletype,actor_year_birth
BRAZIL,BILINGUAL,CHINA,0.961,M,ENGLAND,0.894,BURBANK,0.061,FILM_PRODUCTION,COMP-SCNDRY,MALE,WELSH,DETECTIVE,0.775
BRAZIL,BILINGUAL,CHINA,0.961,M,ENGLAND,0.894,BURBANK,0.061,FILM_PRODUCTION,INCOMP-SCNDRY,MALE,AUSTRALIAN,COWBOY,0.817
USA,ENGLISH,MOROCCO,0.855,M,ENGLAND,0.543,BURBANK,0.828,FILM_PRODUCTION,COMP-SCNDRY,MALE,NEW_ZEALANDER,HERO,0.692
USA,ENGLISH,MOROCCO,0.855,M,ENGLAND,0.543,BURBANK,0.828,FILM_PRODUCTION,COMP-SCNDRY,MALE,PUERTO_RICAN,VILLAIN,0.775
BAHRAIN,BILINGUAL,ENGLAND,0.974,M,ENGLAND,0.872,BURBANK,0.061,FILM_PRODUCTION,COMP-SCNDRY,MALE,AMERICAN,HERO,0.7
BAHRAIN,BILINGUAL,ENGLAND,0.974,M,ENGLAND,0.872,BURBANK,0.061,FILM_PRODUCTION,INCOMP-SCNDRY,MALE,ENGLISH,ASSASSIN,0.758
BAHRAIN,BILINGUAL,ENGLAND,0.974,M,ENGLAND,0.872,BURBANK,0.061,FILM_PRODUCTION,COMP-SCNDRY,FEMALE,CANADIAN,YOUNG_WOMAN,0.808
USA,MULTILINGUAL,SCOTLAND,0.789,M,USA,0.745,LOS_ANGELES,0.778,PRODUCTION_&_DISTRIBUTION,HIGHER,MALE,AMERICAN,POLICE_OFFICER,0.625
USA,MULTILINGUAL,SCOTLAND,0.789,M,USA,0.745,LOS_ANGELES,0.778,PRODUCTION_&_DISTRIBUTION,INCOMP-SCNDRY,FEMALE,FRENCH,YOUNG_WOMAN,0.708
GERMANY,BILINGUAL,GERMANY,0.605,M,GERMANY,0.585,MUNICH,0.071,FILM_DISTRIBUTION,COMP-SCNDRY,MALE,GERMAN,CRIMINAL,0.5
UK,BILINGUAL,NEW_ZEALAND,0.868,M,NEW_ZEALAND,0.798,BURBANK,0.556,PRODUCTION_&_DISTRIBUTION,COMP-SCNDRY,MALE,AMERICAN,HOBBIT,0.833
UK,BILINGUAL,NEW_ZEALAND,0.868,M,NEW_ZEALAND,0.798,BURBANK,0.556,PRODUCTION_&_DISTRIBUTION,HIGHER,MALE,ENGLISH,ELF,0.8
UK,BILINGUAL,NEW_ZEALAND,0.868,M,NEW_ZEALAND,0.798,BURBANK,0.556,PRODUCTION_&_DISTRIBUTION,HIGHER,MALE,ENGLISH,WIZARD,0.483
UK,BILINGUAL,NEW_ZEALAND,0.868,M,NEW_ZEALAND,0.798,BURBANK,0.556,PRODUCTION_&_DISTRIBUTION,HIGHER,MALE,AMERICAN,HERO,0.642
USA,MULTILINGUAL,NEW_ZEALAND,0.882,M,NEW_ZEALAND,0.798,BURBANK,0.556,PRODUCTION_&_DISTRIBUTION,COMP-SCNDRY,MALE,AMERICAN,HOBBIT,0.833
USA,MULTILINGUAL,NEW_ZEALAND,0.882,M,NEW_ZEALAND,0.798,BURBANK,0.556,PRODUCTION_&_DISTRIBUTION,HIGHER,MALE,ENGLISH,ELF,0.8
USA,MULTILINGUAL,NEW_ZEALAND,0.882,M,NEW_ZEALAND,0.798,BURBANK,0.556,PRODUCTION_&_DISTRIBUTION,HIGHER,MALE,ENGLISH,WIZARD,0.483
USA,MULTILINGUAL,NEW_ZEALAND,0.882,M,NEW_ZEALAND,0.798,BURBANK,0.556,PRODUCTION_&_DISTRIBUTION,HIGHER,MALE,AMERICAN,HERO,0.642
USA,ENGLISH,CANADA,0.618,M,CANADA,0.479,BEVERLY_HILLS,0.646,FILM_PRODUCTION,HIGHER,MALE,AMERICAN,SOLDIER,0.542
USA,ENGLISH,CANADA,0.618,M,CANADA,0.479,BEVERLY_HILLS,0.646,FILM_PRODUCTION,HIGHER,MALE,AMERICAN,ARMY_OFFICER,0.375
USA,ENGLISH,CANADA,0.618,M,CANADA,0.479,BEVERLY_HILLS,0.646,FILM_PRODUCTION,HIGHER,MALE,AMERICAN,SHERIFF,0.475
USA,ENGLISH,MEXICO,0.658,M,ITALY,0.585,BEVERLY_HILLS,0.646,FILM_PRODUCTION,HIGHER,MALE,AMERICAN,SOLDIER,0.542
USA,ENGLISH,MEXICO,0.658,M,ITALY,0.585,BEVERLY_HILLS,0.646,FILM_PRODUCTION,HIGHER,MALE,AMERICAN,ARMY_OFFICER,0.375
USA,BILINGUAL,THAILAND,0.697,M,ENGLAND,0.755,BEVERLY_HILLS,0.646,FILM_PRODUCTION,HIGHER,MALE,AMERICAN,SOLDIER,0.542
USA,BILINGUAL,THAILAND,0.697,M,ENGLAND,0.755,BEVERLY_HILLS,0.646,FILM_PRODUCTION,HIGHER,MALE,AMERICAN,ARMY_OFFICER,0.375
USA,MULTILINGUAL,USA,0.829,M,USA,0.702,SANTA_MONICA,0.727,PRODUCTION_&_DISTRIBUTION,COMP-SCNDRY,MALE,AMERICAN,AGENT,0.608
